model,n_splits,roc_auc_mean,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_std,pr_auc_mean,pr_auc_ci95_low,pr_auc_ci95_high,pr_auc_std,f1_mean,f1_ci95_low,f1_ci95_high,f1_std,mcc_mean,mcc_ci95_low,mcc_ci95_high,mcc_std,sensitivity_mean,sensitivity_ci95_low,sensitivity_ci95_high,sensitivity_std,specificity_mean,specificity_ci95_low,specificity_ci95_high,specificity_std,balanced_accuracy_mean,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_std
extra_trees,15,0.829544212921401,0.8104013352146442,0.8486870906281578,0.03456756188129877,0.7740646991801613,0.7412194583622645,0.806909939998058,0.05931082629640662,0.7055212235288781,0.6766220933473684,0.7344203537103878,0.05218507301608271,0.49576336920320635,0.4582929455779377,0.5332337928284749,0.06766282516278997,0.7369635661044176,0.6985990275343816,0.7753281046744536,0.06927738772520613,0.7640236563307112,0.7371257038571288,0.7909216088042936,0.04857141391456563,0.7504936112175644,0.7322186733024579,0.7687685491326709,0.03300026552613673
weighted_ensemble,15,0.8151737284997037,0.7952214339962842,0.8351260230031232,0.03602917938912647,0.7433183349902666,0.7039966487055301,0.782640021275003,0.07100577273420468,0.7358866555666689,0.7070116416707097,0.764761669462628,0.05214152464232803,0.5527479877973979,0.5178436103320333,0.5876523652627624,0.06302914569298664,0.7503600150501847,0.7089556437030877,0.7917643863972816,0.07476661506288935,0.8016831305448283,0.7641518862386487,0.8392143748510079,0.06777265309374474,0.7760215727975065,0.758684048957472,0.793359096637541,0.03130751485694072
rf,15,0.8142072059757736,0.7928998655617909,0.8355145463897562,0.038476075518482145,0.7369733835755446,0.6943962443056313,0.779550522845458,0.076884359759657,0.7183709581848413,0.6874958160545908,0.7492461003150919,0.05575328863980674,0.5048719392407299,0.46689332764946934,0.5428505508319905,0.0685804938242555,0.7921667399727367,0.7559810040479935,0.8283524758974798,0.06534297951229072,0.7209349090911792,0.6912791716633675,0.7505906465189909,0.05355132882187278,0.756550824531958,0.7383585888116824,0.7747430602522336,0.03285092469654323
xgb,15,0.8029669241646861,0.7826871895043015,0.8232466588250706,0.03662045976304433,0.7221974920501947,0.6758416376963929,0.7685533464039964,0.083707835806208,0.705962115198714,0.6758474623932442,0.7360767680041838,0.054380022707843506,0.4797020676461982,0.4429439963830548,0.5164601389093416,0.0663764833318351,0.7897567978181382,0.7519467346143697,0.8275668610219068,0.06827613483999649,0.6980958804258053,0.6724177416444723,0.7237740192071382,0.04636871555664799,0.7439263391219717,0.7265386393352866,0.7613140389086568,0.031398120886366676
hist_gb,15,0.801033766714911,0.7805598451549818,0.8215076882748402,0.03697111590625187,0.7246968897418904,0.6780517936621965,0.7713419858215843,0.0842301387437073,0.6819935341236198,0.6473282666891942,0.7166588015580455,0.06259736887669311,0.4609489564522467,0.4176708655235809,0.5042270473809125,0.07815011458559788,0.7086527048041524,0.6574413131039929,0.759864096504312,0.09247580111729262,0.7552485685733543,0.7208107538418213,0.7896863833048874,0.062186642469579785,0.7319506366887535,0.7100437390631795,0.7538575343143274,0.039558735677030256
nu_svm,15,0.7953630823961649,0.7714907183269287,0.8192354464654011,0.04310790858392969,0.7202967939540804,0.6787388793794669,0.761854708528694,0.07504387823616664,0.6811979765018731,0.6440218824540355,0.7183740705497107,0.06713133475485869,0.47978782644750323,0.43120264433463606,0.5283730085603704,0.08773348056274267,0.6690339265559201,0.6211138839031778,0.7169539692086624,0.08653239419528165,0.8075104359147959,0.7770591802064886,0.8379616916231032,0.05498784885872322,0.7382721812353578,0.7135465952703544,0.7629977672003612,0.044648627859903534
svm_rbf,15,0.7918815880086965,0.769253038273473,0.8145101377439199,0.04086187067790177,0.7130589427305742,0.6703291557952991,0.7557887296658494,0.07716000575704901,0.6809150724932426,0.6495931593217761,0.712236985664709,0.056560052693288176,0.4749887411666101,0.4350126368062775,0.5149648455269427,0.07218749878767185,0.674277148913464,0.6333227757485553,0.7152315220783727,0.0739540235472587,0.7986022363025057,0.769180908043875,0.8280235645611365,0.05312804066293802,0.7364396926079848,0.7168110398314842,0.7560683453844854,0.035444758091868214
logreg_l2,15,0.7780418849150883,0.7553760083136807,0.8007077615164959,0.04092927427188696,0.6978605686726935,0.6522678366023303,0.7434533007430567,0.08232981536644678,0.6571970753189434,0.617792249317175,0.6966019013207119,0.07115590362660863,0.4365257469590175,0.3994175266713393,0.47363396724669576,0.06700877061166309,0.6414886086385908,0.5908829556684505,0.6920942616087311,0.09138197858159067,0.7893312467673215,0.7625107346100266,0.8161517589246163,0.04843157480748969,0.7154099277029561,0.6959102194205722,0.73490963598534,0.03521191448037413
